a SpType,a Fraction of Sample,b Mstar (Msun),b Fraction of Sample,c Teff (K),c Fraction of Sample,d Rstar (Rsun),d Fraction of Sample,e Prot (d),e Fraction of Sample,f vsini (km/s),f Fraction of Sample,g i disk (deg),g Fraction of Sample,h i star (deg),h Fraction of Sample
3.12,2.0408163265306123,0.085,2.0408163265306123,2875.0,2.0408163265306123,0.61,2.083333333333333,1.5499999999999998,2.083333333333333,2.5,2.0408163265306123,5.5,4.081632653061225,5.0,2.0408163265306123
3.3600000000000003,2.0408163265306123,0.255,8.16326530612245,3125.0,8.16326530612245,0.83,6.25,2.25,14.583333333333334,7.5,22.448979591836736,16.5,8.16326530612245,15.0,4.081632653061225
3.6000000000000005,0.0,0.42500000000000004,20.408163265306122,3375.0,10.204081632653061,1.05,10.416666666666668,2.9499999999999997,18.75,12.5,30.612244897959183,27.5,14.285714285714285,25.0,8.16326530612245
3.8400000000000007,2.0408163265306123,0.595,18.367346938775512,3625.0,16.3265306122449,1.27,10.416666666666668,3.65,12.5,17.5,20.408163265306122,38.5,16.3265306122449,35.0,4.081632653061225
4.080000000000001,10.204081632653061,0.765,14.285714285714285,3875.0,18.367346938775512,1.49,27.083333333333332,4.35,2.083333333333333,22.5,10.204081632653061,49.5,24.489795918367346,45.0,14.285714285714285
4.320000000000001,12.244897959183673,0.935,12.244897959183673,4125.0,12.244897959183673,1.71,18.75,5.05,0.0,27.5,4.081632653061225,60.5,16.3265306122449,55.0,18.367346938775512
4.560000000000001,14.285714285714285,1.105,10.204081632653061,4375.0,10.204081632653061,1.93,8.333333333333332,5.749999999999999,18.75,32.5,4.081632653061225,71.5,16.3265306122449,65.0,10.204081632653061
4.800000000000002,14.285714285714285,1.2750000000000001,8.16326530612245,4625.0,10.204081632653061,2.15,6.25,6.449999999999999,16.666666666666664,37.5,4.081632653061225,82.5,0.0,75.0,10.204081632653061
5.040000000000002,16.3265306122449,1.445,2.0408163265306123,4875.0,4.081632653061225,2.3699999999999997,4.166666666666666,7.1499999999999995,6.25,42.5,0.0,93.5,0.0,85.0,28.57142857142857
5.280000000000002,12.244897959183673,1.615,0.0,5125.0,2.0408163265306123,2.5899999999999994,2.083333333333333,7.85,2.083333333333333,47.5,0.0,,,,
5.520000000000002,14.285714285714285,1.7850000000000001,2.0408163265306123,5375.0,2.0408163265306123,2.8099999999999996,0.0,8.549999999999999,2.083333333333333,52.5,0.0,,,,
5.7600000000000025,0.0,1.955,0.0,5625.0,4.081632653061225,3.03,0.0,9.249999999999998,4.166666666666666,57.5,0.0,,,,
,,2.125,2.0408163265306123,5875.0,0.0,3.2499999999999996,0.0,9.949999999999998,0.0,62.5,2.0408163265306123,,,,
,,2.295,0.0,,,3.4699999999999993,4.166666666666666,,,,,,,,
,,,,,,3.6899999999999995,0.0,,,,,,,,
